,text,cleaned_text,topics
63,"'The series of corruption charges against the BJP leaders can give Congress an edge in the upcoming Assembly election.'

Karnataka Assembly Elections 2023: Congress SWOT analysis
https://t.co/04m2Jcw8rs", the series of corruption charges against the bjp leaders can give congress an edge in the upcoming assembly election karnataka assembly elections congress swot analysis ,"[2, 5]"
64,"It’s April 03, 2023 at 10:29AM
Stop Your Period Pain Instantly and Naturally with Nuvapad, No Drugs.

😍 Experience Your Period Better!
Click &gt;&gt;&gt; https://t.co/TXx3nTRHa6

#AtikuGate #ObiDatti2023 #NigeriaDecides2023 #ThePeoplesTownHall https://t.co/4cWoWSx74D",it april at am stop your period pain instantly and naturally with nuvapad no drugs experience your period better click gt gt gt atikugate obidatti nigeriadecides thepeoplestownhall ,[0]
65,DSS might not be fair enough in Nigeria. Mc oluomo made treats to Nigerian no come out on election day if they won't vot apc no arrest was issued as soon as Igbo chief in Lagos made his own treats he was arrested. Unfair. #NigeriaDecides2023 #NigeriaElections2023,dss might not be fair enough in nigeria mc oluomo made treats to nigerian no come out on election day if they won vot apc no arrest was issued as soon as igbo chief in lagos made his own treats he was arrested unfair nigeriadecides nigeriaelections,[2]
66,Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/kjbisBoeKs,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,[5]
67,"As we await the April 15th elections, it is important that we evaluate women’s representation in elective offices so far.
Do you think there is a significant progress? Comment where you spot increase or decrease.
#NigeriaDecides2023 #9jawomen43023 https://t.co/pX27Q95Xio",as we await the april th elections it is important that we evaluate women representation in elective offices so far do you think there is significant progress comment where you spot increase or decrease nigeriadecides jawomen ,"[0, 2, 3]"
68,"If Nigerians fold their hands and allow a Tinubu Presidency,Abacha will be considered a saint compared to a Tinubu.
All the institutions of State has been captured,it is left for the Nigerian People to save their heads or to walk into a civilian dictatorship.
#NigeriaDecides2023",if nigerians fold their hands and allow tinubu presidency abacha will be considered saint compared to tinubu all the institutions of state has been captured it is left for the nigerian people to save their heads or to walk into civilian dictatorship nigeriadecides,"[0, 2, 4]"
69,Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/DPBUpHuO8A via @BreitbartNews,exclusive rep jeff van drew democrats afraid of trump in via ,[5]
70,"Spare no corrupt person, even those in power: PM Modi at CBI diamond jubilee | WATCH

https://t.co/iGFvFsmvga",spare no corrupt person even those in power pm modi at cbi diamond jubilee watch ,[2]
71,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/sHYZFt294G
via NaMo App", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,[1]
72,Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/yba4TbASBm via @BreitbartNews,exclusive rep jeff van drew democrats afraid of trump in via ,[5]
73,"PM @narendramodi inaugurated the #CBI diamond jubilee today as the organisation marked its 60th anniversary.

Here's what he said at the event:

https://t.co/ckTXkLleJI",pm inaugurated the cbi diamond jubilee today as the organisation marked its th anniversary here what he said at the event ,"[2, 3]"
74,Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/L6sbl5xswL,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,[5]
75,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/zqhw8ohhSs
via NaMo App", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,[1]
76,"“You can’t get rich in politics unless you’re a crook.” 

Harry S. Truman

#HarrySTruman #HarryTruman #Truman #POTUS #Politics #Politicians #quote #quotes #corruption #crook https://t.co/zzWPrx5AMx", you can get rich in politics unless you re crook harry truman harrystruman harrytruman truman potus politics politicians quote quotes corruption crook ,[2]
77,"When was patronage used?

During the Gilded Age,  politics were riddled with corruption as presidents awarded government  positions to political supporters through the patronage or spoils  system.",when was patronage used during the gilded age politics were riddled with corruption as presidents awarded government positions to political supporters through the patronage or spoils system ,[2]
78,Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/rq3rXhwWuP,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,[5]
79,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/EefCmHMzUO
via NaMo App", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,[1]
80,"INEC appoints former NBA president, 8 other SANs to defend election | TheCable https://t.co/ntCCIBNHQW

#NigeriaDecides2023 https://t.co/EmqK9EyDn7",inec appoints former nba president other sans to defend election thecable nigeriadecides ,[2]
81,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/ZHf3A7dLiQ
via NaMo App", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,[1]
82,"#TrumpWasRightAboutEverything 
Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/ZPDI98jeEU via @BreitbartNews", trumpwasrightabouteverything exclusive rep jeff van drew democrats afraid of trump in via ,[5]
83,"Cash and carry 
Price : 10k 
Location:Lagos Ajah 

WhatsApp or call :08057962665
#MLLE #Datti #Davidoyedepo #Davido #Logosolori #Burnaboy #Mrpeterobi #NigeriaDecides2023 https://t.co/lB9f2Zhawk",cash and carry price location lagos ajah whatsapp or call mlle datti davidoyedepo davido logosolori burnaboy mrpeterobi nigeriadecides ,[2]
84,"It’s April 03, 2023 at 09:29AM
Stop Your Period Pain Instantly and Naturally with Nuvapad, No Drugs.

😍 Experience Your Period Better!
Click &gt;&gt;&gt; https://t.co/TXx3nTRHa6

#AtikuGate #ObiDatti2023 #NigeriaDecides2023 #ThePeoplesTownHall https://t.co/LHqDe9uUm7",it april at am stop your period pain instantly and naturally with nuvapad no drugs experience your period better click gt gt gt atikugate obidatti nigeriadecides thepeoplestownhall ,[0]
85,"Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024
https://t.co/H9Lvqb0nVY",exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,[5]
86,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/ulrwS0g6lJ
via NaMo App", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,[1]
87,"Thank you Mr @jsteenhuisen for showing us that there is more to politics than corruption, looting and stealing and celebrating ""mama winnie"", and dodging questions from journalists, hiding behind ministers and moving thieves between failed portfolios to keep their protection.",thank you mr for showing us that there is more to politics than corruption looting and stealing and celebrating mama winnie and dodging questions from journalists hiding behind ministers and moving thieves between failed portfolios to keep their protection ,[2]
88,ALL EYES ON THE NIGERIAN JUDICIARY! ⚖️ ⚖️ ⚖️  #RejectTinubu #NigeriaDecides2023 https://t.co/ThENtNwejD,all eyes on the nigerian judiciary rejecttinubu nigeriadecides ,[2]
89,"ALL EYES ON THE NIGERIAN JUDICIARY! ⚖️ ⚖️ ⚖️
#NigeriaDecides2023 https://t.co/FYpmHGeciA",all eyes on the nigerian judiciary nigeriadecides ,[2]
90,Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/DMdhWkXSA6 via @BreitbartNews,exclusive rep jeff van drew democrats afraid of trump in via ,[5]
91,"Ed Helms: ""Politics is pretty f$*ked"". Watch Ed Helms and RepresentUs CEO Josh Graham Lynn break down the root causes of corruption in our political system, and how we, the people, can fix things. https://t.co/cnnmEbXI2S",ed helms politics is pretty ked watch ed helms and representus ceo josh graham lynn break down the root causes of corruption in our political system and how we the people can fix things ,[2]
92,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/YSjfp4UQOo
via NaMo App", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,[1]
93,"Just read @queersprings' piece on how we casually talk about queer intimacies through the language of irrationality and disgust. 
https://t.co/PYFthXRP84

Finding their discussion of how our mere existence breaks notions of purity and allows for erotic corruption fascinating!",just read piece on how we casually talk about queer intimacies through the language of irrationality and disgust finding their discussion of how our mere existence breaks notions of purity and allows for erotic corruption fascinating ,"[2, 4]"
94,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/toE3xkqAGZ
via NaMo App", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,[1]
95,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/afJJOuOgWn
#My_Buland #BulandNaMo
#HamaraAppNaMoApp
@YouthofNation21 @youth4bjp 
@Yuva_of_India @MpDrBholaSingh", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation my buland bulandnamo hamaraappnamoapp of india ,"[1, 2]"
96,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/db186CYFIH
via NaMo App
@DhirendraGBN

Join me on NaMo App in the journey to transform India.

Click https://t.co/bUtLttNj1R &amp; enter code DLDBBW-F", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app join me on namo app in the journey to transform india click amp enter code dldbbw f,"[0, 1]"
97,"Women are blessings to this world, if 30/40 percent of women in Nigeria engage in politics I’m certain corruption rate would decrease automatically 🤷🏾‍♂️",women are blessings to this world if percent of women in nigeria engage in politics certain corruption rate would decrease automatically ,"[2, 3]"
98,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/oU9aP71QR1
via NaMo App", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,[1]
99,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/dm84g5rqd7", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation ,"[1, 2]"
100,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/uctKjdJu3N
via NaMo App", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,[1]
101,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/Q0vuMatrQb
via NaMo App", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,[1]
102,"“You can’t get rich in politics unless you’re a crook.” 

Harry S. Truman

#HarrySTruman #HarryTruman #Truman #POTUS #Politics #Politicians #quote #quotes #corruption #crook https://t.co/zgEoiwf5e1", you can get rich in politics unless you re crook harry truman harrystruman harrytruman truman potus politics politicians quote quotes corruption crook ,[2]
103,"#TheIndiaFix #loksabha2024 | Will corruption shape the path to 2024?

The answer, like so much else in India politics is: it’s complicated, @ShoaibDaniyal writes.

Read more here: https://t.co/OtCPv9SDeB https://t.co/wkTKvrS5wf", theindiafix loksabha will corruption shape the path to the answer like so much else in india politics is it complicated writes read more here ,[2]
