text,date,raw_text_length,year,month,cleaned_text,cleaned_text_length
"That’s well and good, but he should have made a far more aggressive effort doing that in 2017.

https://t.co/XBx7Em2E7c",2023-04-03 11:00:45+00:00,19,2023,04,that well and good but he should have made far more aggressive effort doing that in ,16
Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/HCWbS5qkpd via @BreitbartNews,2023-04-03 10:59:28+00:00,15,2023,04,exclusive rep jeff van drew democrats afraid of trump in via ,11
"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/PhdpLLu5bj
via NaMo App",2023-04-03 10:58:37+00:00,17,2023,04, pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,16
#NigeriaDecides2023: Crisis should neither be foisted on Nigeria nor the country brought to an end even if the winner of the election was not the one declared elected.,2023-04-03 10:58:36+00:00,28,2023,04, nigeriadecides crisis should neither be foisted on nigeria nor the country brought to an end even if the winner of the election was not the one declared elected ,28
Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/HLxtUp7z8T,2023-04-03 10:56:07+00:00,20,2023,04,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,17
"""OUR MAGA #47 will Win and yes, take out DC Corruption"".......Ron  

""Democrats are afraid he will enter the Oval Office again because he will “let the truth ring out” and take down corruption in D.C."" 

https://t.co/cfMVKD9mCu",2023-04-03 10:54:34+00:00,36,2023,04, our maga will win and yes take out dc corruption ron democrats are afraid he will enter the oval office again because he will let the truth ring out and take down corruption in ,34
A Corrupt Government Attacking a political enemy of its Corruption is an old story…Nelson Mandela  Donald Trump #MandelaTrump #GovernmentCorruption #politics #FJB #NancyPelosi https://t.co/9H1rovfNDC,2023-04-03 10:52:36+00:00,23,2023,04,a corrupt government attacking political enemy of its corruption is an old story nelson mandela donald trump mandelatrump governmentcorruption politics fjb nancypelosi ,22
Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/3u6W3HTkKl,2023-04-03 10:52:20+00:00,20,2023,04,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,17
....#Nigerians now know the politicians &amp; bandits are in a joint enterprise or how else does anyone explain the suspension of much of the killing &amp; rapine during #NigeriaDecides2023? We now know why the violence is so chronic. https://t.co/cZ0VNWNYAJ,2023-04-03 10:47:56+00:00,39,2023,04, nigerians now know the politicians amp bandits are in joint enterprise or how else does anyone explain the suspension of much of the killing amp rapine during nigeriadecides we now know why the violence is so chronic ,37
"The #Russian National Anti-Terrorism Committee revealed that the #Ukrainian Special Services and the supporters of the extremist Anti-Corruption Foundation (FBK) planned the terrorist attack. 

#Russia
#Trepova
#Tatarsky https://t.co/9niaPqa0IE",2023-04-03 10:43:39+00:00,28,2023,04,the russian national anti terrorism committee revealed that the ukrainian special services and the supporters of the extremist anti corruption foundation fbk planned the terrorist attack russia trepova tatarsky ,29
Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/v3Pf2jnw7O,2023-04-03 10:41:53+00:00,20,2023,04,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,17
"Fantastic panel on the politics of corruption with both quantitative and qualitative works from Hungary, Israel and Switzerland @irspm 

#IRSPM2023 https://t.co/sn4ZLzGJtw",2023-04-03 10:40:31+00:00,21,2023,04,fantastic panel on the politics of corruption with both quantitative and qualitative works from hungary israel and switzerland irspm ,19
🚨 CORRUPTION MUST GO 🚨🇺🇲🇺🇲🇺🇲Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/PeY1bWMtSz,2023-04-03 10:39:11+00:00,24,2023,04, corruption must go exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,20
Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/BjjcVBaKaq,2023-04-03 10:37:53+00:00,20,2023,04,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,17
"I try my absolute best to stay out of politics and Wall Street, due to their corruption, and that for some reason, us sheeple can’t organize enough to stop it. Look at France… Like, yikes 😳 Yet, this second major bailout has been bothering me, because it’s just a pure example… https://t.co/7L3dTZWszP",2023-04-03 10:35:01+00:00,52,2023,04,i try my absolute best to stay out of politics and wall street due to their corruption and that for some reason us sheeple can organize enough to stop it look at france like yikes yet this second major bailout has been bothering me because it just pure example ,49
"I try my absolute best to stay out of politics and Wall Street, due to their corruption, and that for some reason, us sheeple can’t organize enough to stop it. Look at France… Like, yikes 😳 Yet, this second major bailout has been bothering me, because it’s just a pure example… https://t.co/FEOFeAhmET",2023-04-03 10:33:27+00:00,52,2023,04,i try my absolute best to stay out of politics and wall street due to their corruption and that for some reason us sheeple can organize enough to stop it look at france like yikes yet this second major bailout has been bothering me because it just pure example ,49
Hi.#ILAND2 #Denmark #AgustD_SUGA_Tour_in_bangkok #DreamvilleFest #WrestleMania39 #NigeriaDecides2023 @viviancbk @kimyaf @babiiwg @yasswhitney @Nikiwe_Shakur .thanks. https://t.co/wwgCrAqG4W,2023-04-03 10:32:08+00:00,13,2023,04,hi iland denmark agustd suga tour in bangkok dreamvillefest wrestlemania nigeriadecides shakur thanks ,13
"It’s April 03, 2023 at 11:31AM
Stop Your Period Pain Instantly and Naturally with Nuvapad, No Drugs.

😍 Experience Your Period Better!
Click &gt;&gt;&gt; https://t.co/TXx3nTRHa6

#AtikuGate #ObiDatti2023 #NigeriaDecides2023 #ThePeoplesTownHall https://t.co/18lfQ4q1xq",2023-04-03 10:31:12+00:00,30,2023,04,it april at am stop your period pain instantly and naturally with nuvapad no drugs experience your period better click gt gt gt atikugate obidatti nigeriadecides thepeoplestownhall ,27
"IMPEACH TEAM FUCK UP 
KNOWN CORRUPTION 
EVERY OFFICIAL an embarrassment 

https://t.co/zOYO82Igxn",2023-04-03 10:31:07+00:00,11,2023,04,impeach team fuck up known corruption every official an embarrassment ,10
"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/FoNWnYv2Wq
via NaMo App",2023-04-03 10:30:51+00:00,17,2023,04, pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,16
"I try my absolute best to stay out of politics and Wall Street, due to their corruption and us sheeple that for some reason can’t organize enough to stop it. Yet, this second major bailout has been bothering me, because it’s just a pure example that neither outfit cares. I cant… https://t.co/hSoPwvMXWk",2023-04-03 10:30:51+00:00,52,2023,04,i try my absolute best to stay out of politics and wall street due to their corruption and us sheeple that for some reason can organize enough to stop it yet this second major bailout has been bothering me because it just pure example that neither outfit cares cant ,49
"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/CRhbHd4TJh
via NaMo App",2023-04-03 10:29:05+00:00,17,2023,04, pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,16
Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/avECg9wsk5 via @BreitbartNews,2023-04-03 10:28:28+00:00,15,2023,04,exclusive rep jeff van drew democrats afraid of trump in via ,11
"APC DOOM IS NEXT
CLICK SND READ FOR YOURSELF
#yesdaddy
#NigeriaDecides2023
 https://t.co/lRWdeoAPdg",2023-04-03 10:26:11+00:00,12,2023,04,apc doom is next click snd read for yourself yesdaddy nigeriadecides ,11
"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation.......

https://t.co/j7yQ64keoE

via NaMo App",2023-04-03 10:20:29+00:00,17,2023,04, pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,16
Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/4EMwA2HwLv via @BreitbartNews,2023-04-03 10:17:59+00:00,15,2023,04,exclusive rep jeff van drew democrats afraid of trump in via ,11
"Does it mean @officialABAT will lose his ex governor title if actually he is guilty of the purpoted narcotics deal?
#NigeriaDecides2023
@PeterObi @NgLabour",2023-04-03 10:16:03+00:00,23,2023,04,does it mean will lose his ex governor title if actually he is guilty of the purpoted narcotics deal nigeriadecides ,20
Senior officials to take over China’s football body amid corruption crackdown  https://t.co/oPTYmjXA8O,2023-04-03 10:12:28+00:00,12,2023,04,senior officials to take over china football body amid corruption crackdown ,11
Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/3VQrNANvRE,2023-04-03 10:12:27+00:00,20,2023,04,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,17
Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/BhqVzDLRMJ,2023-04-03 10:05:06+00:00,20,2023,04,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,17
"A CALL FOR THE 2023 PRESIDENTIAL ELECTION PETITION PROCEEDINGS TO BE BROADCAST LIVE ON TV - Sign the Petition! https://t.co/9LPcEi8MaZ via @changeorgng

#Petition #BBTitans #electionpetitiontribunal #NigeriaDecides2023",2023-04-03 10:03:55+00:00,26,2023,04,a call for the presidential election petition proceedings to be broadcast live on tv sign the petition via petition bbtitans electionpetitiontribunal nigeriadecides,22
Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/tpnoUuLqDr,2023-04-03 10:02:55+00:00,20,2023,04,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,17
"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/apjwnt6n7h
via NaMo App",2023-04-03 09:55:40+00:00,17,2023,04, pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,16
"Amid the ongoing fistfight between the Congress and the BJP, the latter released a video in which the “corruption cases” during the ten years of UPA rule between 2004-2014 were unearthed.

Source: India Today
#feedmile #BJP #politics #congressfiles #Congress #rahulgandhi https://t.co/sRnCwT4ycz",2023-04-03 09:52:47+00:00,41,2023,04,amid the ongoing fistfight between the congress and the bjp the latter released video in which the corruption cases during the ten years of upa rule between were unearthed source india today feedmile bjp politics congressfiles congress rahulgandhi ,38
"Ed Helms: ""Politics is pretty f$*ked"". Watch Ed Helms and RepresentUs CEO Josh Graham Lynn break down the root causes of corruption in our political system, and how we, the people, can fix things. https://t.co/bMNwEkoCQm",2023-04-03 09:52:39+00:00,35,2023,04,ed helms politics is pretty ked watch ed helms and representus ceo josh graham lynn break down the root causes of corruption in our political system and how we the people can fix things ,34
"Spare no corrupt person, even those in power: PM Modi at CBI diamond jubilee | WATCH

https://t.co/L9zG9AOBne",2023-04-03 09:49:32+00:00,17,2023,04,spare no corrupt person even those in power pm modi at cbi diamond jubilee watch ,15
"Good morning, 
Will the PEPT &amp; SC finish the hearing before swearing in?
What happens if they don't finish the case?
Can a President be sworn in with a pending court case? 
 #NigeriaDecides2023
@AbdulMahmud01,@chymaker, @ayosogunro,@Devttorney, @LawyersObi4Obi, @democracy_watch",2023-04-03 09:46:58+00:00,37,2023,04,good morning will the pept amp sc finish the hearing before swearing in what happens if they don finish the case can president be sworn in with pending court case nigeriadecides watch,32
"'They are very powerful people': PM Modi's advice to CBI on corruption accused

Watch here: https://t.co/42UkMVrNjJ https://t.co/lkG0oiOcgT",2023-04-03 09:45:03+00:00,17,2023,04, they are very powerful people pm modi advice to cbi on corruption accused watch here ,15
"TO WHOM IT MAY CONSIDER 📢

A quick reminder 👇
#NigeriaDecides2023 
#NigeriaElections2023
#Nigeria 
🇳🇬 https://t.co/N24AdGYrAu",2023-04-03 09:41:16+00:00,15,2023,04,to whom it may consider quick reminder nigeriadecides nigeriaelections nigeria ,10
"So Major-General @MBuhari is about to hand over Nigeria to a US-indicted drug baron. 😭💔😪
#NigeriaDecides2023",2023-04-03 09:37:25+00:00,16,2023,04,so major general is about to hand over nigeria to us indicted drug baron nigeriadecides,15
"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/KouCaZoTtz",2023-04-03 09:35:35+00:00,14,2023,04, pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation ,13
"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/mQ8L3rNDeo
via NaMo App",2023-04-03 09:33:54+00:00,17,2023,04, pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,16
Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/mI3djktt5T #america #news #trump #infowars #freespeech #politics,2023-04-03 09:32:35+00:00,24,2023,04,rep jeff van drew democrats afraid donald trump will take out corruption if he wins in america news trump infowars freespeech politics,22
"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/Og4xPlc4cM",2023-04-03 09:32:09+00:00,14,2023,04, pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation ,13
"'The series of corruption charges against the BJP leaders can give Congress an edge in the upcoming Assembly election.'

Karnataka Assembly Elections 2023: Congress SWOT analysis
https://t.co/04m2Jcw8rs",2023-04-03 09:30:51+00:00,27,2023,04, the series of corruption charges against the bjp leaders can give congress an edge in the upcoming assembly election karnataka assembly elections congress swot analysis ,25
"It’s April 03, 2023 at 10:29AM
Stop Your Period Pain Instantly and Naturally with Nuvapad, No Drugs.

😍 Experience Your Period Better!
Click &gt;&gt;&gt; https://t.co/TXx3nTRHa6

#AtikuGate #ObiDatti2023 #NigeriaDecides2023 #ThePeoplesTownHall https://t.co/4cWoWSx74D",2023-04-03 09:29:11+00:00,30,2023,04,it april at am stop your period pain instantly and naturally with nuvapad no drugs experience your period better click gt gt gt atikugate obidatti nigeriadecides thepeoplestownhall ,27
DSS might not be fair enough in Nigeria. Mc oluomo made treats to Nigerian no come out on election day if they won't vot apc no arrest was issued as soon as Igbo chief in Lagos made his own treats he was arrested. Unfair. #NigeriaDecides2023 #NigeriaElections2023,2023-04-03 09:26:54+00:00,46,2023,04,dss might not be fair enough in nigeria mc oluomo made treats to nigerian no come out on election day if they won vot apc no arrest was issued as soon as igbo chief in lagos made his own treats he was arrested unfair nigeriadecides nigeriaelections,46
Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/kjbisBoeKs,2023-04-03 09:24:50+00:00,20,2023,04,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,17
"As we await the April 15th elections, it is important that we evaluate women’s representation in elective offices so far.
Do you think there is a significant progress? Comment where you spot increase or decrease.
#NigeriaDecides2023 #9jawomen43023 https://t.co/pX27Q95Xio",2023-04-03 09:24:30+00:00,38,2023,04,as we await the april th elections it is important that we evaluate women representation in elective offices so far do you think there is significant progress comment where you spot increase or decrease nigeriadecides jawomen ,36
"If Nigerians fold their hands and allow a Tinubu Presidency,Abacha will be considered a saint compared to a Tinubu.
All the institutions of State has been captured,it is left for the Nigerian People to save their heads or to walk into a civilian dictatorship.
#NigeriaDecides2023",2023-04-03 09:21:01+00:00,45,2023,04,if nigerians fold their hands and allow tinubu presidency abacha will be considered saint compared to tinubu all the institutions of state has been captured it is left for the nigerian people to save their heads or to walk into civilian dictatorship nigeriadecides,43
Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/DPBUpHuO8A via @BreitbartNews,2023-04-03 09:17:00+00:00,15,2023,04,exclusive rep jeff van drew democrats afraid of trump in via ,11
"Spare no corrupt person, even those in power: PM Modi at CBI diamond jubilee | WATCH

https://t.co/iGFvFsmvga",2023-04-03 09:14:46+00:00,17,2023,04,spare no corrupt person even those in power pm modi at cbi diamond jubilee watch ,15
"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/sHYZFt294G
via NaMo App",2023-04-03 09:10:30+00:00,17,2023,04, pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,16
Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/yba4TbASBm via @BreitbartNews,2023-04-03 09:09:59+00:00,15,2023,04,exclusive rep jeff van drew democrats afraid of trump in via ,11
"PM @narendramodi inaugurated the #CBI diamond jubilee today as the organisation marked its 60th anniversary.

Here's what he said at the event:

https://t.co/ckTXkLleJI",2023-04-03 09:08:18+00:00,23,2023,04,pm inaugurated the cbi diamond jubilee today as the organisation marked its th anniversary here what he said at the event ,21
Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/L6sbl5xswL,2023-04-03 09:04:00+00:00,20,2023,04,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,17
"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/zqhw8ohhSs
via NaMo App",2023-04-03 09:01:59+00:00,17,2023,04, pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,16
"“You can’t get rich in politics unless you’re a crook.” 

Harry S. Truman

#HarrySTruman #HarryTruman #Truman #POTUS #Politics #Politicians #quote #quotes #corruption #crook https://t.co/zzWPrx5AMx",2023-04-03 08:56:08+00:00,24,2023,04, you can get rich in politics unless you re crook harry truman harrystruman harrytruman truman potus politics politicians quote quotes corruption crook ,22
"When was patronage used?

During the Gilded Age,  politics were riddled with corruption as presidents awarded government  positions to political supporters through the patronage or spoils  system.",2023-04-03 08:54:24+00:00,27,2023,04,when was patronage used during the gilded age politics were riddled with corruption as presidents awarded government positions to political supporters through the patronage or spoils system ,27
Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/rq3rXhwWuP,2023-04-03 08:43:35+00:00,20,2023,04,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,17
"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/EefCmHMzUO
via NaMo App",2023-04-03 08:41:04+00:00,17,2023,04, pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,16
"INEC appoints former NBA president, 8 other SANs to defend election | TheCable https://t.co/ntCCIBNHQW

#NigeriaDecides2023 https://t.co/EmqK9EyDn7",2023-04-03 08:39:31+00:00,16,2023,04,inec appoints former nba president other sans to defend election thecable nigeriadecides ,12
"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/ZHf3A7dLiQ
via NaMo App",2023-04-03 08:37:36+00:00,17,2023,04, pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,16
"#TrumpWasRightAboutEverything 
Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/ZPDI98jeEU via @BreitbartNews",2023-04-03 08:34:22+00:00,16,2023,04, trumpwasrightabouteverything exclusive rep jeff van drew democrats afraid of trump in via ,12
"Cash and carry 
Price : 10k 
Location:Lagos Ajah 

WhatsApp or call :08057962665
#MLLE #Datti #Davidoyedepo #Davido #Logosolori #Burnaboy #Mrpeterobi #NigeriaDecides2023 https://t.co/lB9f2Zhawk",2023-04-03 08:30:25+00:00,21,2023,04,cash and carry price location lagos ajah whatsapp or call mlle datti davidoyedepo davido logosolori burnaboy mrpeterobi nigeriadecides ,18
"It’s April 03, 2023 at 09:29AM
Stop Your Period Pain Instantly and Naturally with Nuvapad, No Drugs.

😍 Experience Your Period Better!
Click &gt;&gt;&gt; https://t.co/TXx3nTRHa6

#AtikuGate #ObiDatti2023 #NigeriaDecides2023 #ThePeoplesTownHall https://t.co/LHqDe9uUm7",2023-04-03 08:29:16+00:00,30,2023,04,it april at am stop your period pain instantly and naturally with nuvapad no drugs experience your period better click gt gt gt atikugate obidatti nigeriadecides thepeoplestownhall ,27
"Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024
https://t.co/H9Lvqb0nVY",2023-04-03 08:25:23+00:00,20,2023,04,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,17
"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/ulrwS0g6lJ
via NaMo App",2023-04-03 08:24:19+00:00,17,2023,04, pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,16
"Thank you Mr @jsteenhuisen for showing us that there is more to politics than corruption, looting and stealing and celebrating ""mama winnie"", and dodging questions from journalists, hiding behind ministers and moving thieves between failed portfolios to keep their protection.",2023-04-03 08:24:00+00:00,40,2023,04,thank you mr for showing us that there is more to politics than corruption looting and stealing and celebrating mama winnie and dodging questions from journalists hiding behind ministers and moving thieves between failed portfolios to keep their protection ,39
ALL EYES ON THE NIGERIAN JUDICIARY! ⚖️ ⚖️ ⚖️  #RejectTinubu #NigeriaDecides2023 https://t.co/ThENtNwejD,2023-04-03 08:23:14+00:00,12,2023,04,all eyes on the nigerian judiciary rejecttinubu nigeriadecides ,8
"ALL EYES ON THE NIGERIAN JUDICIARY! ⚖️ ⚖️ ⚖️
#NigeriaDecides2023 https://t.co/FYpmHGeciA",2023-04-03 08:21:50+00:00,11,2023,04,all eyes on the nigerian judiciary nigeriadecides ,7
Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/DMdhWkXSA6 via @BreitbartNews,2023-04-03 08:20:37+00:00,15,2023,04,exclusive rep jeff van drew democrats afraid of trump in via ,11
